Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
Ginza Shiseidofor women,Shiseido,for women,"Galbanum, Tangerine and Pineapple","Pepper, Ylang-Ylang, Jasmine and Violet","Amber, Sandalwood and Musk","['fresh spicy', 'amber', 'woody', 'powdery', 'warm spicy', 'sweet', 'green', 'yellow floral', 'aromatic', 'fruity']",Spring,Night
Inoui Shiseidofor women,Shiseido,for women,"Green Notes, Juniper, Peach, Galbanum and Amalfi Lemon","Pine, Freesia, Thyme and Jasmine","oak moss, Virginia Cedar, Civetta and Myrhh","['aromatic', 'woody', 'green', 'mossy', 'fresh spicy', 'earthy', 'balsamic', 'floral', 'amber', 'citrus']",All Season,Day
Koto Shiseidofor women,Shiseido,for women,"Aldehydes, Green Notes, Spices and Citruses","Narcissus, Orris Root, Gardenia, Jasmine, Rose and Lily-of-the-Valley","oak moss, Leather, Castoreum, Patchouli, Amber and Vetiver","['leather', 'earthy', 'woody', 'white floral', 'green', 'mossy', 'aldehydic', 'fresh', 'animalic', 'smoky']",Fall,Day
Lordos Shiseidofor men,Shiseido,for men,"Lemon, Bergamot, Rosemary, Basil, Lavender and Petitgrain","Rose, Carnation, Sandalwood, Cedar, Geranium and Green Notes","Moss, Tonka Bean, Vanilla and Musk","['aromatic', 'fresh spicy', 'citrus', 'woody', 'green', 'vanilla', 'powdery', 'rose', 'warm spicy', 'floral']",Spring,Day
Maquillage Dramatic Mood Potion Shiseidofor women,Shiseido,for women,"Jasmine, Pear, Patchouli, Apricot, Apple, Bergamot, Grapefruit, Raspberry, Peach and Cardamom","Jasmine, Osmanthus, Olive Blossom, Lily-of-the-Valley, Bulgarian Rose and Violet","Saffron, Vanilla, Musk, Sandalwood, Cedar, Iris and Amber","['fruity', 'warm spicy', 'white floral', 'floral', 'woody', 'powdery', 'patchouli', 'sweet', 'fresh', 'vanilla']",Spring,Night
Memoire Shiseidofor women,Shiseido,for women,"Aldehydes, Neroli, Gardenia, Bergamot and Amalfi Lemon","Rose, Heliotrope, Jasmine, Carnation, Ylang-Ylang, African Orange Flower and Orchid","Musk, Civetta, Sandalwood, Styrax, Amber, Benzoin and Vanille","['powdery', 'musky', 'white floral', 'amber', 'floral', 'rose', 'citrus', 'woody', 'animalic', 'vanilla']",Spring,Night
More Shiseidofor women,Shiseido,for women,"Aldehydes, Neroli, Tarragon, Bergamot and Mandarin Orange","Ylang-Ylang, Jasmine, Iris, Rose, Lily-of-the-Valley and Lilac","Musk, Amber, Benzoin, Cedar and Vanilla","['aldehydic', 'fresh', 'amber', 'white floral', 'citrus', 'yellow floral', 'musky', 'powdery', 'soapy', 'floral']",Spring,Night
Murasaki Shiseidofor women,Shiseido,for women,"Hiacynth, Galbanum, Gardenia, Bergamot and Peach","Lily-of-the-Valley, Orris Root, Rose, Lily and Jasmine","Oakmoss, Leather, Vetiver, Musk, Sandalwood and Amber","['white floral', 'green', 'floral', 'earthy', 'rose', 'woody', 'powdery', 'aromatic', 'fresh spicy', 'iris']",Spring,Night
Myth of Saso Shiseidofor women,Shiseido,for women,"Fruity Notes, Aldehydes and Citruses","Ylang-Ylang, Floral Notes, Osmanthus, Rose and Jasmine","Castoreum, Benzoin and Sandalwood","['fruity', 'sweet', 'yellow floral', 'woody', 'floral', 'leather', 'amber', 'smoky', 'aldehydic']",Fall,Night
Nishiki Shiseidofor women,Shiseido,for women,"Bergamot, Neroli, Aldehydes, Peach and Strawberry","Orris, Lilac, Lily-of-the-Valley, May Rose, Jasmine, Lily and Violet","Vetiver, Labdanum, Sandalwood, Musk, Tonka Bean and Peru Balsam","['white floral', 'woody', 'floral', 'powdery', 'fresh', 'citrus', 'aromatic', 'amber', 'green', 'iris']",Spring,Day
Nombre Noir Shiseidofor women,Shiseido,for women,"Aldehydes, Palisander Rosewood, Coriander, Marjoram and Bergamot","Damask Rose, Osmanthus, Geranium, Carnation, Orris, Lily-of-the-Valley, Jasmine and Ylang-Ylang","Honey, Vetiver, Sandalwood, Musk, Tonka Bean, Amber and Benzoin","['aromatic', 'floral', 'woody', 'rose', 'amber', 'fresh spicy', 'warm spicy', 'sweet', 'fresh', 'herbal']",Spring,Night
Relaxing Fragrance Shiseidofor women,Shiseido,for women,"Bamboo, Cucumber, Artemisia, Cassia, Tea Rose and Raspberry","Peony, Gardenia and Cardamom",,"['aromatic', 'woody', 'rose', 'green', 'herbal', 'floral', 'ozonic', 'fresh', 'aquatic', 'fruity']",Spring,Day
Rising Sun Shiseidofor women,Shiseido,for women,"Sea Notes, Mineral notes and Lemon","Ylang-Ylang, Jasmine and Rose","Cashmeran, Coconut, Musk and Mirabelle Plum","['musky', 'woody', 'sweet', 'marine', 'yellow floral', 'mineral', 'aromatic', 'citrus', 'powdery', 'coconut']",Summer,Any
Saso Shiseidofor women,Shiseido,for women,"Aldehydes, Fruity Notes, Hyacinth, Green Notes, Bergamot and Amalfi Lemon","Ylang-Ylang, Jasmine, Orris Root, Rose, Lily-of-the-Valley and Violet","Vetiver, Civetta, Musk, Sandalwood, Amber, Benzoin, Tonka Bean and Vanille","['powdery', 'woody', 'white floral', 'floral', 'green', 'sweet', 'musky', 'fresh', 'yellow floral', 'aldehydic']",Spring,Night
Shiseido MG 5 Shiseidofor men,Shiseido,for men,Citruses,Floral Notes,Woody Notes,"['citrus', 'floral', 'woody', 'fresh']",Summer,Day
Tactics Shiseidofor men,Shiseido,for men,"Juniper Berries, Galbanum, Green Notes, Bergamot, Lemon and Peach","Pine Tree, Jasmine, Cedar, Thyme, Clary Sage and Mint","Oakmoss, Musk, Amber, Tonka Bean and Vanilla","['aromatic', 'woody', 'green', 'fresh spicy', 'citrus']",All Season,Any
The Ginza Shiseidofor women,Shiseido,for women,"Bergamot, Sweet Orange, Violet Leaf, Lemon, Japanese Citruses and Marjoram","Rose, Lily-of-the-Valley, Ylang-Ylang, Lime (Linden) Blossom and Jasmine Sambac","Sandalwood, Cedar, Musk, Brown sugar and Benzoin","['citrus', 'woody', 'white floral', 'yellow floral', 'sweet', 'floral', 'powdery', 'rose', 'fresh spicy', 'green']",Spring,Day
Vocalise Shiseidofor women,Shiseido,for women,"Peach, Fruity Notes, Orchid, Green Notes, Black Currant, Neroli and Brazilian Rosewood","Rose, Lily-of-the-Valley, Red Currant, Japanese Cypress, Yuzu and Jasmine","Heliotrope, Vanilla, Musk, Sandalwood, Cedar and Pepper","['fruity', 'powdery', 'sweet', 'woody', 'floral', 'vanilla', 'green', 'white floral', 'fresh', 'rose']",Spring,Night
We're Shiseidofor women,Shiseido,for women,"Fruity Notes, Raspberry and Citruses",Floral Notes,"Sandalwood, Tonka Bean and Woody Notes","['fruity', 'sweet', 'woody', 'floral', 'citrus', 'vanilla', 'warm spicy']",Winter,Night
We're for Men Shiseidofor men,Shiseido,for men,"Lemon, Bergamot, Lime and Green Leaves","Rosemary, Lavender and Raspberry","Sandalwood, Woody Notes and Cloves","['woody', 'citrus', 'aromatic', 'fresh spicy', 'warm spicy', 'powdery', 'lavender', 'sweet', 'fruity']",Spring,Day
Rose Synactif Shiseidofor women,Shiseido,for women,"Lemon Verbena, Lemon, Lemongrass and Anise","Rose, Juniper Berries, Chrysanthemum and Jasmine Sambac",Musk and White Woods,"['rose', 'citrus', 'aromatic', 'musky', 'fresh spicy', 'floral', 'woody', 'herbal', 'white floral', 'powdery']",Spring,Day
Ever Bloom Shiseidofor women,Shiseido,for women,"Lotus, Jasmine, Bulgarian Rose and Violet",Gardenia and Orange Blossom,Musk and Hinoki Wood,"['white floral', 'floral', 'musky', 'powdery', 'rose', 'animalic']",Spring,Night
Ever Bloom Eau de Toilette Shiseidofor women,Shiseido,for women,"Peony, Violet, Osmanthus, Bergamot and Lemon","Gardenia, Orange Blossom, Cyclamen, Rose and Apple",White Musk and Sandalwood,"['floral', 'white floral', 'fresh', 'powdery', 'rose', 'violet', 'fruity', 'citrus', 'musky', 'lactonic']",Spring,Day
Ever Bloom Extrait Absolu Shiseidofor women,Shiseido,for women,"Violet, Lotus, Cyclamen and Rose",Gardenia and Orange Blossom,Hinoki Wood and Musk,"['floral', 'white floral', 'powdery', 'woody', 'violet', 'musky', 'rose', 'fresh', 'aquatic', 'aromatic']",Spring,Day
Ever Bloom Ginza Flower Shiseidofor women,Shiseido,for women,Lotus and Violet,Gardenia and Orange Blossom,"Patchouli, Musk and White Amber","['white floral', 'floral', 'powdery', 'violet', 'patchouli', 'animalic', 'musky', 'amber', 'aquatic', 'woody']",Spring,Night
Ever Bloom Sakura Art Edition Shiseidofor women,Shiseido,for women,"Sour Cherry, Cyclamen and Bergamot","Japanese Cherry Blossom, Orange Blossom, Pear, Bulgarian Rose and Lily-of-the-Valley","Vanilla, White Musk, Iso E Super and Cedar","['floral', 'sweet', 'fresh', 'cherry', 'fruity', 'white floral', 'woody', 'citrus', 'musky', 'powdery']",Spring,Night
Ginza Shiseidofor women,Shiseido,for women,Pomegranate and Pink Pepper,"Orchid, Freesia, Magnolia and Jasmine","Patchouli, Hinoki and Sandalwood","['floral', 'woody', 'fresh spicy', 'sweet', 'patchouli', 'fruity', 'soft spicy', 'white floral', 'warm spicy', 'powdery']",Spring,Any
Ginza Intense Shiseidofor women,Shiseido,for women,Black Currant,Rose,Patchouli and Vanilla,"['fruity', 'rose', 'patchouli', 'woody', 'floral', 'vanilla', 'warm spicy', 'soft spicy', 'earthy', 'balsamic']",All Season,Night
Ginza Murasaki Shiseidofor women,Shiseido,for women,"Apple, Pomegranate and Violet","Wisteria, Freesia and Jasmine","Cashmeran, Sandalwood and Cashmere Wood","['floral', 'woody', 'fruity', 'fresh', 'powdery', 'fresh spicy', 'violet', 'white floral', 'green', 'musky']",Spring,Day
Ginza Night Shiseidofor women,Shiseido,for women,Black Currant and Mandarin Orange,"Jasmine, Gardenia and Lily",Cedar and Vanilla,"['white floral', 'fruity', 'woody', 'soft spicy', 'vanilla']",Spring,Night
Majoromantica Shiseidofor women,Shiseido,for women,"Strawberry, Apple, Mangosteen, Raspberry, Lemon, Fig, Mandarin Orange and Bergamot","Rose, Sweet Pea, Lily-of-the-Valley, Gardenia and Jasmine","Brown sugar, Vanilla, Musk, Maple and Sandalwood","['sweet', 'fruity', 'citrus', 'white floral', 'woody', 'fresh', 'vanilla', 'floral', 'rose', 'powdery']",Spring,Night
Zen Shiseidofor women,Shiseido,for women,"Grapefruit, Pineapple, Bergamot, Orange and Rose","Freesia, Red Apple, Lotus, Hyacinth, Gardenia, Lily-of-the-Valley, Violet and Orris","Patchouli, Cedar, Musk, Amber, Incense and Pine","['citrus', 'woody', 'floral', 'patchouli', 'fruity', 'sweet', 'fresh spicy', 'powdery', 'warm spicy', 'aromatic']",Spring,Night
Zen 2000 Shiseidofor women,Shiseido,for women,Bergamot and Gentiana,"Violet, Oakmoss, Iris and Rose","Bamboo, Pear Wood, Musk and Patchouli","['woody', 'powdery', 'earthy', 'violet', 'mossy', 'iris', 'floral', 'musky', 'patchouli']",All Season,Night
Zen Concentrated Shiseidofor women,Shiseido,for women,"Pineapple, Grapefruit, Bergamot, Magnolia, Rose and Peach","Gardenia, Lotus, Jasmine, Hyacinth, Freesia and Violet","Patchouli, Sea water, Virginia Cedar, Incense, Musk, Leather, Vanille and Amber","['citrus', 'woody', 'patchouli', 'fruity', 'sweet', 'aromatic', 'floral', 'marine', 'fresh spicy', 'warm spicy']",Summer,Night
Zen Eau de Parfum Shiseidofor women,Shiseido,for women,"Freesia, Citruses, Lime and Lily-of-the-Valley","Almond Blossom, Lotus, Tuberose, Mimosa, Jasmine and Rose","Musk, Virginia Cedar and Amber","['floral', 'white floral', 'citrus', 'powdery', 'tuberose', 'sweet', 'yellow floral', 'woody', 'fresh']",Spring,Night
Zen for Men Shiseidofor men,Shiseido,for men,"Pear, Orange and Bergamot","Violet, Nutmeg and Rhododendron","Patchouli, Leather and Musk","['powdery', 'fresh spicy', 'sweet', 'floral', 'violet', 'citrus', 'fruity', 'patchouli', 'woody', 'leather']",All Season,Night
Zen for Men Sun Shiseidofor men,Shiseido,for men,"Yuzu, Mint, Pear and Bergamot",Violet and White Pepper,Cedar and Amber,"['citrus', 'fresh spicy', 'green', 'aromatic', 'sweet', 'woody', 'fruity', 'powdery', 'violet', 'floral']",Spring,Day
Zen for Men White Heat Edition Shiseidofor men,Shiseido,for men,"Mint, hassaku, Granny Smith apple and Lime","Juniper, Rhododendron and Cardamom","Musk, Sandalwood, Wormwood and Sage","['aromatic', 'citrus', 'green', 'fresh spicy', 'fruity', 'woody', 'warm spicy', 'musky', 'sweet', 'fresh']",All Season,Day
Zen Gold Shiseidofor women,Shiseido,for women,,Flowers,Woodsy Notes and Amber,"['woody', 'floral', 'amber']",All Season,Night
Zen Gold Elixir Shiseidofor women,Shiseido,for women,"Pineapple, Bergamot, Grapefruit and Peach","Magnolia, Jasmine and Blue Rose","Patchouli, Amber, White Musk, Vanilla and Cedar","['patchouli', 'floral', 'woody', 'citrus', 'white floral', 'warm spicy', 'amber', 'earthy', 'balsamic', 'fruity']",Winter,Night
Zen Gold Elixir Shiseidofor women,Shiseido,for women,Incense and Blue Rose,Saffron and Jasmine,Cedar and Honey,"['warm spicy', 'amber', 'smoky', 'rose', 'woody', 'balsamic', 'honey', 'floral', 'white floral', 'metallic']",Winter,Night
Zen Moon Essence Shiseidofor women,Shiseido,for women,"Pear, Pineapple, Grapefruit, Bergamot and Rose","Raspberry, Magnolia, Jasmine, Freesia, Violet and Tuberose","Patchouli, Vanilla, White Musk, Amber and Cashmere Wood","['fruity', 'sweet', 'citrus', 'floral', 'patchouli', 'woody', 'fresh', 'white floral', 'powdery', 'musky']",Spring,Night
Zen Original Shiseidofor women,Shiseido,for women,"Hiacynth, Galbanum, Bergamot and Orange Blossom","Carnation, Orris Root, Narcissus, Jasmine, Mimosa, Violet and Rose","Oakmoss, Musk, Sandalwood, Cedar and Amber","['floral', 'green', 'powdery', 'woody', 'earthy', 'mossy', 'yellow floral', 'aromatic', 'white floral', 'iris']",Spring,Night
Zen Secret Bloom Shiseidofor women,Shiseido,for women,"Pink Pepper, Blue Rose, Mandarin Orange, Grapefruit and Bergamot","Freesia, Jasmine and Gardenia","Patchouli, Black Vanilla Husk, Incense, Tonka Bean, Musk, Sandalwood and Vetiver","['vanilla', 'patchouli', 'woody', 'warm spicy', 'floral', 'balsamic', 'white floral', 'amber', 'smoky', 'earthy']",All Season,Night
Zen Summer Shiseidofor women,Shiseido,for women,"Grapefruit, Amalfi Lemon, Black Currant, Peach and Green Apple","Freesia, Lotus, Gardenia, Rose and Lily-of-the-Valley","Raspberry, Musk, Virginia Cedar and Amber","['fruity', 'citrus', 'floral', 'sweet', 'white floral', 'woody', 'aromatic', 'rose', 'fresh', 'musky']",Spring,Any
Zen Sun Shiseidofor women,Shiseido,for women,"Mango, Grapefruit, Peach, Citron, Lemon, Bergamot and Black Currant","Lotus, Gardenia, Cherry Blossom, Blue Rose and Lily-of-the-Valley","Raspberry, Amber and Sandalwood","['citrus', 'fruity', 'sweet', 'floral', 'tropical', 'white floral', 'aromatic', 'fresh', 'fresh spicy']",Spring,Any
Zen Sun 2014 Shiseidofor women,Shiseido,for women,Mango and Bergamot,Exotic floral notes and Cherry Blossom,Musk and Amber,"['floral', 'fruity', 'tropical', 'citrus', 'musky', 'sweet', 'powdery', 'fresh spicy']",Summer,Night
Zen Sun for Men 2014 Shiseidofor men,Shiseido,for men,Yuzu and White Pepper,Mint and Bergamot,Amber and Woodsy Notes,"['fresh spicy', 'citrus', 'green', 'aromatic', 'amber', 'woody']",All Season,Day
Zen White Heat Edition Shiseidofor women,Shiseido,for women,"Bergamot, Black Currant, Coriander and Raspberry","Hyacinth, Jasmine, Peony, Freesia, Magnolia and Rose","Musk, Sandalwood and Amber","['floral', 'fruity', 'citrus', 'aromatic', 'fresh spicy', 'rose', 'soft spicy', 'woody', 'powdery', 'green']",Spring,Day
Hello Kitty Sephorafor women,Sephora,for women,"Green Apple, Japanese Loquat, Ice cream, Cassis and Italian Tangerine","Wildflowers, Red Apple, Magnolia, Freesia, Natural Vanilla and Orange Blossom","Vanilla, Musk and Tonka Bean","['fruity', 'floral', 'fresh', 'sweet', 'green', 'vanilla', 'citrus']",All Season,Any
Adrenaline Shock Scorpiofor men,Scorpio,for men,Citruses,Pepper,Tonka Bean and Woody Notes,"['citrus', 'fresh spicy', 'vanilla', 'amber', 'fresh', 'woody', 'aromatic', 'sweet', 'warm spicy']",Winter,Night
Ambitious Scorpiofor men,Scorpio,for men,Fruity Notes,Fern,Woody Notes and Amber,"['aromatic', 'woody', 'fresh spicy', 'amber', 'earthy', 'fruity']",Fall,Any
Noir Absolu Scorpiofor men,Scorpio,for men,Citruses,Fruity Notes,Tonka Bean and Patchouli,"['citrus', 'vanilla', 'fresh', 'patchouli', 'sweet', 'amber', 'warm spicy', 'fruity', 'aromatic', 'woody']",Winter,Night
Rouge Scorpiofor men,Scorpio,for men,Bergamot and Citruses,"Lavender, Herbal Notes and Mint","Woody Notes, Patchouli and Sandalwood","['woody', 'green', 'lavender', 'aromatic', 'fresh spicy', 'citrus', 'patchouli', 'warm spicy']",All Season,Day
Scandalous Scorpiofor men,Scorpio,for men,Fruity Notes,Spicy Notes,Woody Notes,"['fruity', 'sweet', 'warm spicy', 'woody']",All Season,Night
Vertigo Scorpiofor men,Scorpio,for men,Metallic notes,Fern,Oakmoss and Sandalwood,"['woody', 'mossy', 'earthy', 'metallic', 'aromatic', 'powdery', 'mineral', 'warm spicy', 'fresh spicy']",Fall,Day
Earth Parfum Saponificio Pachysfor men,Saponificio Pachys,for men,"Grapefruit, Bergamot, Magnolia, Jasmine, Rose and Mandarin Orange","Black Pepper, Patchouli, Ginger, Cedar and Musk","Sandalwood, Patchouli, Vanilla, Vetiver and Moss","['woody', 'citrus', 'warm spicy', 'fresh spicy', 'earthy', 'floral', 'powdery', 'aromatic', 'mossy', 'musky']",Fall,Any
Glorius Parfum Saponificio Pachysfor men,Saponificio Pachys,for men,"Pink Pepper, Bergamot, Cardamom, Orange, Lemon, Mint, Mandarin Orange and Pineapple Leaf","Juniper Berries, Coriander, Jasmine and Freesia","Sandalwood, Leather, Cedar and Musk","['citrus', 'aromatic', 'woody', 'fresh spicy', 'sweet', 'warm spicy', 'floral', 'green', 'soft spicy', 'musky']",All Season,Any
Malaysia Parfum Saponificio Pachysfor men,Saponificio Pachys,for men,"Lily of the Valley, Cedar Leaves, Bergamot, Orange and Mint","Geranium, Gardenia, Galbanum, Jasmine and Cloves","Cedarwood, Vanilla, Patchouli and Herbal Notes","['green', 'white floral', 'aromatic', 'fresh spicy', 'citrus', 'warm spicy', 'woody', 'vanilla', 'patchouli', 'balsamic']",Spring,Day
Saloon Parfum Saponificio Pachysfor men,Saponificio Pachys,for men,"Woody Notes, Ambergris, Leather, Incense, Resins and Oud","Black Pepper, Woody Notes, Artemisia and Sage","Woody Notes, Spicy Notes, Pepper and Amber","['amber', 'herbal', 'fresh spicy', 'aromatic', 'warm spicy', 'animalic', 'woody', 'balsamic', 'smoky', 'leather']",Winter,Night
Suk Parfum Saponificio Pachysfor men,Saponificio Pachys,for men,"Iodine, Seaweed, Black Currant, Agarwood (Oud) and Copaiba balm","Gardenia, Rose, Musk, Ginger and Cumin","Patchouli, Cedar, Amber and Oud","['woody', 'warm spicy', 'fresh spicy', 'marine', 'white floral', 'rose', 'patchouli', 'oud', 'musky', 'amber']",Spring,Night
Blooming Love Samouraïfor women,,for women,"Green Notes, Lemon and Freesia","Frangipani, Jasmine and Rose",Sandalwood and Musk,"['floral', 'citrus', 'green', 'woody', 'white floral', 'rose', 'powdery', 'musky', 'tropical']",Spring,Day
Catch Her Samouraïfor men,,for men,"Bergamot, Black Pepper and Coriander",Tarragon and Tagetes,Musk,"['aromatic', 'fresh spicy', 'citrus', 'herbal', 'musky', 'soft spicy', 'anis', 'balsamic', 'powdery', 'sweet']",Summer,Any
Get Up Samouraïfor men,,for men,"Ginger, Lime and Lemon","Coca-Cola, Magnolia and elemi",Tolu Balsam and Black Musk,"['citrus', 'warm spicy', 'coca-cola', 'powdery', 'floral', 'musky', 'amber', 'aromatic', 'balsamic', 'sweet']",Winter,Night
Stay Cool Samouraïfor men,,for men,"Apple, Coriander and Mint","Watery Notes, Juniper and Lavender","Vetiver, Musk and Lorenox","['aromatic', 'woody', 'fresh spicy', 'green', 'fresh', 'aquatic', 'musky', 'fruity', 'amber', 'lavender']",Summer,Day
Sweet Love Samouraïfor women,,for women,"Lemon, Black Currant and Spices","Freesia, Rose and Heliotrope","Sandalowood, Musk and Vanila","['powdery', 'floral', 'vanilla', 'woody', 'warm spicy', 'citrus', 'rose', 'fruity', 'musky', 'aromatic']",Winter,Night
Adrift Revlonfor women,Revlon,for women,"Aldehydes, Bergamot and Freesia",Honeysuckle,Musk and Woodsy Notes,"['floral', 'woody', 'aldehydic', 'citrus', 'white floral', 'musky', 'fresh', 'powdery', 'fresh spicy', 'fruity']",Spring,Day
Aquamarine Revlonfor women,Revlon,for women,"Aldehydes, Lily, Freesia, Bergamot and Citruses","Aromatic Notes, Cloves, Galbanum, Ylang-Ylang, Rose, Jasmine and Honey","Tobacco, Oakmoss, Patchouli, Vetiver, Amber, Vanilla, Sandalwood and Tonka Bean","['warm spicy', 'woody', 'white floral', 'floral', 'sweet', 'aldehydic', 'earthy', 'green', 'aromatic', 'fresh']",All Season,Any
Bling Bling Revlonfor women,Revlon,for women,"Bergamot, Orange and Cassis","Jasmine, Rose and Lily-of-the-Valley","Musk, Sandalwood, Amber and Vanille","['citrus', 'white floral', 'powdery', 'woody', 'musky', 'aromatic', 'rose', 'green', 'fresh', 'floral']",Spring,Day
Cerissa Revlonfor women,Revlon,for women,"Bergamot, Raspberry, Green Notes, Aldehydes and Cinnamon","Tuberose, Rose, Narcissus, Lily of the Valley, Jasmine and Honeysuckle","Siam Benzoin, Cedar, Oakmoss, Sandalowood, Patchouli, Musk, Ambergris, Labdanum and Vanilla","['white floral', 'woody', 'amber', 'green', 'warm spicy', 'powdery', 'balsamic', 'fruity', 'musky', 'vanilla']",All Season,Night
Charlie Revlonfor women,Revlon,for women,"Aldehydes, Hiacynth, Galbanum, Jasmine and Gardenia","Geranium, Lily-of-the-Valley, Jasmine, Coriander, White Lily and Violet","Oakmoss, Sandalwood, Vetiver, Musk and Vanilla","['white floral', 'aromatic', 'green', 'woody', 'earthy', 'mossy', 'aldehydic', 'fresh', 'fresh spicy', 'floral']",Spring,Any
Charlie Black Revlonfor women,Revlon,for women,"Mandarin Orange, Cherry and Litchi",Almond and Caramel,"Musk, Amber, Coumarin, Vanille and Heliotrope","['sweet', 'almond', 'vanilla', 'citrus', 'fruity', 'powdery', 'musky', 'nutty', 'cherry', 'amber']",Winter,Night
Charlie Blushed Revlonfor women,Revlon,for women,"Bergamot, Grapes, Red Apple, Aldehydes and Peach","Rose, Lily-of-the-Valley, Lavender and Jasmine","Musk, Vanille and Patchouli","['fruity', 'rose', 'citrus', 'white floral', 'fresh', 'sweet', 'musky', 'powdery', 'floral', 'fresh spicy']",Spring,Any
Charlie Breeze Revlonfor women,Revlon,for women,"Lime, Amalfi Lemon, Melon, Bergamot and Black Currant","Jasmine, Rose, Geranium, Lily-of-the-Valley and Red Berries",Musk and Patchouli,"['citrus', 'white floral', 'aromatic', 'fresh spicy', 'fresh', 'rose']",Spring,Day
Charlie Instinct (Charlie Insight) Revlonfor women,Revlon,for women,"Grapefruit, Mandarin Orange, Big Strawberry and Pink Pepper",Floral Notes and Tagetes,"Musk, Woodsy Notes and Resin","['citrus', 'floral', 'fresh spicy', 'musky', 'sweet', 'aromatic', 'fruity', 'woody']",All Season,Any
Charlie Pink Sparkle Revlonfor women,Revlon,for women,Freesia and Pomegranate,"Rose, Boronia, Lily and Cyclamen","Sandalwood, Tonka Bean, Musk and Vanille","['floral', 'woody', 'vanilla', 'powdery', 'white floral', 'rose']",Spring,Night
Charlie Red Revlonfor women,Revlon,for women,"Gardenia, Peach, Orange Blossom, Plum, Violet and Black Currant","Tuberose, Carnation, Ylang-Ylang, Jasmine, Lily-of-the-Valley, Orchid and Rose","Honey, Musk, Sandalwood, Amber and Cedar","['white floral', 'floral', 'sweet', 'tuberose', 'woody', 'powdery', 'fruity', 'animalic', 'warm spicy', 'honey']",Spring,Night
Charlie Sunshine Revlonfor women,Revlon,for women,"Mandarin Orange, Green Notes, Bergamot, Pear, Grapefruit and Amalfi Lemon","Freesia, Rose and Violet","Musk, Sandalwood and Amber","['citrus', 'green', 'floral', 'fruity', 'powdery']",Spring,Any
Charlie Urban Energy Revlonfor women,Revlon,for women,"Grapefruit, Cassis, Bergamot, Tomato Leaf, Mandarin Orange and Pineapple","Plum, Jasmine, Geranium, Lily-of-the-Valley, Rose and African Orange Flower","Heliotrope, Sandalwood and Musk","['citrus', 'aromatic', 'fruity', 'white floral', 'fresh spicy', 'powdery', 'green', 'sweet', 'woody', 'rose']",Spring,Day
Charlie White Musk Revlonfor women,Revlon,for women,"Melon, Peach, Red Berries and Bergamot",Black Currant and Floral Notes,"Musk, Sandalwood and Amber","['fruity', 'musky', 'powdery', 'woody', 'floral', 'sweet', 'amber', 'ozonic', 'fresh', 'animalic']",Summer,Night
Chaz Revlonfor men,Revlon,for men,"Lavender, Rosemary, Laurels, Bergamot and Lemon","Carnation, Geranium, Cinnamon, Pine, Coriander, Clary Sage and Cyclamen","Moss, Musk, Cedar, Tonka Bean and Amber","['aromatic', 'fresh spicy', 'woody', 'warm spicy', 'floral', 'citrus', 'mossy', 'musky']",All Season,Any
Cherish Revlonfor women,Revlon,for women,"Grapefruit, Green Apple and Freesia","Rose, Violet and Pink Lotus","Musk, Cedar and Amber","['musky', 'powdery', 'woody', 'rose', 'citrus', 'floral', 'fruity', 'fresh', 'violet', 'amber']",Spring,Day
Ciara Revlonfor women,Revlon,for women,"Raspberry, Neroli, Bergamot and Lemon","Brazilian Rosewood, Ylang-Ylang, Orris, Jasmine and Palmarosa","Opoponax, Incense, Leather, Vanilla, Musk and Cedar","['amber', 'balsamic', 'sweet', 'woody', 'smoky', 'leather', 'powdery', 'vanilla', 'citrus', 'fruity']",Winter,Night
Ciara Femme Fatale Revlonfor women,Revlon,for women,"Peach, Mandarin Orange, Cyclamen, Pear and Lily-of-the-Valley","Nutmeg, Rose, African Orange Flower and Jasmine","Tonka Bean, Sandalwood, Vanille and Musk","['vanilla', 'sweet', 'powdery', 'fruity', 'white floral', 'citrus', 'floral', 'woody', 'fresh spicy', 'rose']",Spring,Night
Club Casino Revlonfor men,Revlon,for men,"Lemon, Pineapple, Grapefruit and Green Apple","Lavender, Cardamom, Orange Blossom and Pine Tree Needles","Tonka Bean, Cedar, White Musk, Myrrh and Vetiver","['aromatic', 'sweet', 'citrus', 'lavender', 'warm spicy', 'fruity', 'amber', 'vanilla', 'fresh', 'fresh spicy']",All Season,Night
Fire & Ice Revlonfor women,Revlon,for women,"Tangerine, Orange Blossom and Osmanthus","Orchid, Tuberose, Magnolia and Narcissus","Amber, Incense, Musk and Woody Notes","['amber', 'floral', 'citrus', 'white floral', 'fruity', 'sweet', 'powdery', 'animalic', 'smoky', 'tuberose']",Spring,Night
Flair Revlonfor women,Revlon,for women,Black Currant and Passionfruit,"Peony, Ylang-Ylang and Lily-of-the-Valley","Patchouli, Praline and Plum","['fruity', 'sweet', 'fresh', 'floral', 'woody', 'patchouli', 'yellow floral', 'white floral', 'tropical', 'warm spicy']",Spring,Any
