Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
Privé Homme Absolu Jequitifor men,Jequiti,for men,"Lime, Lemon, Green Notes and Lavender",Sandalwood and Cedar,"Tonka Bean, Amber, Leather and Musk","['woody', 'amber', 'citrus', 'aromatic', 'vanilla', 'powdery', 'green', 'warm spicy', 'sweet']",Winter,Night
Privé Homme Essence Jequitifor men,Jequiti,for men,"Bergamot, Lemon and Rosemary","Geranium, Lily-of-the-Valley, Sage and Ginger",Cedar and Musk,"['aromatic', 'fresh spicy', 'citrus', 'woody', 'herbal', 'musky', 'warm spicy', 'fresh', 'white floral', 'powdery']",Spring,Day
Privé Homme Exclusive Jequitifor men,Jequiti,for men,Fruits and Spices,Heliotrope and Cedar,"Madagascar Vanilla, Ambroxan and Madagascar Vetiver","['vanilla', 'amber', 'fruity', 'woody', 'powdery', 'sweet', 'musky', 'aromatic', 'warm spicy', 'earthy']",Winter,Night
Privé Homme Fortune Jequitifor men,Jequiti,for men,"Cardamom, Nutmeg, Lime and Bergamot","Gardenia, Violet, Black Pepper and Cashmeran","Patchouli, Leather, Amber, Cedar and Vetiver","['fresh spicy', 'warm spicy', 'powdery', 'woody', 'white floral', 'violet', 'aromatic', 'citrus', 'amber', 'animalic']",All Season,Any
Privé Homme Golden Jequitifor men,Jequiti,for men,"Black Pepper, Nutmeg, Pomelo, Mint, Italian Mandarin and Apple","Atlas Cedar, Cinnamon, Orange Blossom, Leather, Rosemary and Ginger","Amber, Madagascar Vanilla, Indonesian Patchouli Leaf, Coumarin and Musk","['fresh spicy', 'warm spicy', 'woody', 'vanilla', 'amber', 'aromatic', 'powdery', 'patchouli', 'cinnamon', 'sweet']",Winter,Night
Privé Homme Platine Jequitifor men,Jequiti,for men,Fruity Notes,Spicy Notes and Floral Notes,Woody Notes,"['fruity', 'sweet', 'floral', 'warm spicy']",All Season,Night
Privé Homme Royale Jequitifor men,Jequiti,for men,"Almond, Lemon and Bergamot",Pepper and Patchouli,"Amber, Leather, Vetiver and Cedar","['almond', 'woody', 'amber', 'fresh spicy', 'nutty', 'warm spicy', 'leather', 'patchouli', 'fruity', 'aromatic']",Fall,Night
Privé Homme Special Jequitifor men,Jequiti,for men,"Saffron, Lemon, Dihydromyrcenol and Plum","Cinnamon, Neroli, Cardamom, Lavender and Violet","Coumarin, Spanish Labdanum, Indonesian Patchouli Leaf, Ambrox Super, Cedar, Praline, Vanilla and Musk","['warm spicy', 'woody', 'aromatic', 'sweet', 'amber', 'vanilla', 'balsamic', 'musky', 'patchouli', 'citrus']",Winter,Night
Privé Homme Suprême Jequitifor men,Jequiti,for men,"Bergamot, Mandarin Orange and Cedar","Magnolia, Violet and Nutmeg","Patchouli, Oakmoss, Vetiver and Tonka Bean","['citrus', 'floral', 'woody', 'earthy', 'fresh spicy', 'violet', 'patchouli', 'powdery', 'mossy', 'aromatic']",Fall,Day
Privé Homme VIP Jequitifor men,Jequiti,for men,"Bergamot, Sage, Black Pepper and Cardamom",Lavender and Geranium,"Sandalwood, Cedar, Patchouli and Musk","['aromatic', 'fresh spicy', 'warm spicy', 'woody', 'herbal', 'lavender', 'citrus', 'powdery', 'patchouli']",All Season,Day
